id,member_id,num,type,name,phone,sex,id_card_status,create_time,update_time,extract_time
1002,10008,449058147700541199,1,林文远,18100343244,女,1,2026-02-21 06:31:47,2026-02-21 06:31:47,2026-02-21 06:31:47
1003,10008,807935978207151820,1,林文远,18100343244,男,1,2026-02-19 06:31:47,2026-02-19 06:31:47,2026-02-19 06:31:47
1004,10009,192546291486528168,1,陈志强,15889255466,女,0,2026-07-04 07:50:40,2026-07-04 07:50:40,2026-07-04 07:50:40
1005,10013,767735925556258815,1,陈雅琴,15022583132,男,1,2026-07-28 21:01:23,2026-07-28 21:01:23,2026-07-28 21:01:23
1006,10014,794705516940974993,1,林泽宇,13510469632,未知,0,2026-06-15 16:12:48,2026-06-15 16:12:48,2026-06-15 16:12:48
1007,10014,728962309130756263,1,林泽宇,13510469632,女,1,2026-06-16 16:12:48,2026-06-16 16:12:48,2026-06-16 16:12:48
1008,10014,028385786527858549,1,林泽宇,13510469632,女,0,2026-06-25 16:12:48,2026-06-25 16:12:48,2026-06-25 16:12:48
1009,10022,788191485807836134,1,林雅琴,18066033419,男,1,2026-08-12 11:23:20,2026-08-12 11:23:20,2026-08-12 11:23:20
1010,10022,517133959629233095,1,林雅琴,18066033419,未知,1,2026-08-02 11:23:20,2026-08-02 11:23:20,2026-08-02 11:23:20
1011,10023,162713611155426221,1,林文博,15729466711,男,0,2026-06-08 14:44:59,2026-06-08 14:44:59,2026-06-08 14:44:59
1012,10023,532697311219656523,1,林文博,15729466711,女,0,2026-05-27 14:44:59,2026-05-27 14:44:59,2026-05-27 14:44:59
1013,10025,220863536541951802,1,李婉清,13930068486,男,0,2026-07-12 18:05:40,2026-07-12 18:05:40,2026-07-12 18:05:40
1014,10025,174451870534949375,1,李婉清,13930068486,女,0,2026-07-12 18:05:40,2026-07-12 18:05:40,2026-07-12 18:05:40
1015,10026,680442067883171210,1,陈泽宇,18732060385,男,0,2026-04-08 06:48:42,2026-04-08 06:48:42,2026-04-08 06:48:42
1016,10029,015336884443106987,1,林致远,13827104054,男,0,2026-01-25 16:10:56,2026-01-25 16:10:56,2026-01-25 16:10:56
1017,10029,061497310324171467,1,林致远,13827104054,女,1,2026-01-31 16:10:56,2026-01-31 16:10:56,2026-01-31 16:10:56
1018,10032,697252175250074329,1,李志强,15999441715,男,1,2026-06-24 16:55:17,2026-06-24 16:55:17,2026-06-24 16:55:17
1019,10034,021697972965902771,1,陈文远,13999261891,女,1,2026-02-23 09:31:12,2026-02-23 09:31:12,2026-02-23 09:31:12
1020,10034,145089935889163756,1,陈文远,13999261891,男,0,2026-02-01 09:31:12,2026-02-01 09:31:12,2026-02-01 09:31:12
1021,10034,287721753540838663,1,陈文远,13999261891,男,1,2026-01-31 09:31:12,2026-01-31 09:31:12,2026-01-31 09:31:12
1022,10041,190669849027703843,1,李伟明,13598068650,男,0,2026-05-02 13:51:30,2026-05-02 13:51:30,2026-05-02 13:51:30
1023,10044,939982455877169472,1,林雅琪,15780856271,男,1,2026-05-10 16:44:00,2026-05-10 16:44:00,2026-05-10 16:44:00
1024,10046,601367303718376452,1,林雅琴,18674064930,未知,0,2026-05-03 12:26:56,2026-05-03 12:26:56,2026-05-03 12:26:56
1025,10046,881474350313650249,1,林雅琴,18674064930,男,1,2026-04-30 12:26:56,2026-04-30 12:26:56,2026-04-30 12:26:56
1026,10054,139660558303441448,1,李志强,18173397767,女,0,2026-06-24 06:15:56,2026-06-24 06:15:56,2026-06-24 06:15:56
1027,10054,556990235577027278,1,李志强,18173397767,女,1,2026-06-07 06:15:56,2026-06-07 06:15:56,2026-06-07 06:15:56
1028,10058,192927524372805129,1,陈逸飞,15762126796,男,1,2026-02-17 20:32:27,2026-02-17 20:32:27,2026-02-17 20:32:27
1029,10058,663723950410276747,1,陈逸飞,15762126796,男,1,2026-03-13 20:32:27,2026-03-13 20:32:27,2026-03-13 20:32:27
1030,10060,847870050506138782,1,李思源,13671739627,男,0,2026-03-04 19:13:39,2026-03-04 19:13:39,2026-03-04 19:13:39
1031,10061,364597010822078113,1,陈志强,18736565198,未知,1,2026-04-03 12:48:02,2026-04-03 12:48:02,2026-04-03 12:48:02
1032,10061,956353153136363179,1,陈志强,18736565198,女,0,2026-04-12 12:48:02,2026-04-12 12:48:02,2026-04-12 12:48:02
1033,10064,928422223105927452,1,李志强,18033554864,男,0,2026-01-23 17:22:28,2026-01-23 17:22:28,2026-01-23 17:22:28
1034,10064,552578284106727520,1,李志强,18033554864,未知,1,2026-02-08 17:22:28,2026-02-08 17:22:28,2026-02-08 17:22:28
1035,10069,875927125663836151,1,李昂,13224955289,女,0,2026-06-09 08:06:52,2026-06-09 08:06:52,2026-06-09 08:06:52
1036,10070,848588006167567700,1,林雅琴,15347947386,男,1,2026-08-23 19:12:54,2026-08-23 19:12:54,2026-08-23 19:12:54
1037,10070,276246719788977828,1,林雅琴,15347947386,男,1,2026-09-05 19:12:54,2026-09-05 19:12:54,2026-09-05 19:12:54
1038,10074,429543165266930089,1,陈浩宇,15186734257,未知,0,2026-08-04 15:01:41,2026-08-04 15:01:41,2026-08-04 15:01:41
1039,10074,173420696942152910,1,陈浩宇,15186734257,未知,1,2026-08-29 15:01:41,2026-08-29 15:01:41,2026-08-29 15:01:41
1040,10074,771333447626393436,1,陈浩宇,15186734257,男,1,2026-08-24 15:01:41,2026-08-24 15:01:41,2026-08-24 15:01:41
1041,10078,576024375738395972,1,李国栋,15900610277,女,1,2026-09-01 21:19:39,2026-09-01 21:19:39,2026-09-01 21:19:39
1042,10078,572934172232971674,1,李国栋,15900610277,男,0,2026-08-25 21:19:39,2026-08-25 21:19:39,2026-08-25 21:19:39
1043,10078,005452280156193183,1,李国栋,15900610277,女,1,2026-08-29 21:19:39,2026-08-29 21:19:39,2026-08-29 21:19:39
1044,10084,930361498728399921,1,林泽宇,15749465398,未知,0,2026-02-10 11:47:34,2026-02-10 11:47:34,2026-02-10 11:47:34
1045,10084,124938430894870605,1,林泽宇,15749465398,女,1,2026-02-05 11:47:34,2026-02-05 11:47:34,2026-02-05 11:47:34
1046,10091,495013649718924195,1,李博文,13574220912,女,0,2026-02-04 18:10:04,2026-02-04 18:10:04,2026-02-04 18:10:04
1047,10094,270116864622522372,1,李浩然,15391836264,男,1,2026-05-10 18:37:19,2026-05-10 18:37:19,2026-05-10 18:37:19
1048,10094,323023467912141614,1,李浩然,15391836264,男,1,2026-05-28 18:37:19,2026-05-28 18:37:19,2026-05-28 18:37:19
1049,10095,399156686334141115,1,陈志强,15135669055,未知,0,2026-01-12 20:55:44,2026-01-12 20:55:44,2026-01-12 20:55:44
1050,10095,195256904098366552,1,陈志强,15135669055,未知,0,2026-01-25 20:55:44,2026-01-25 20:55:44,2026-01-25 20:55:44
1051,10095,608752437729420954,1,陈志强,15135669055,未知,0,2026-01-05 20:55:44,2026-01-05 20:55:44,2026-01-05 20:55:44
1052,10096,178309997419267649,1,林致远,15305233027,男,0,2026-03-21 11:01:35,2026-03-21 11:01:35,2026-03-21 11:01:35
1053,10097,186151554234016361,1,陈默,18992087510,男,0,2026-06-15 12:41:10,2026-06-15 12:41:10,2026-06-15 12:41:10
1054,10105,811390438303419909,1,林浩宇,13326065019,女,0,2026-05-09 11:01:09,2026-05-09 11:01:09,2026-05-09 11:01:09
1055,10105,514054683565215681,1,林浩宇,13326065019,未知,0,2026-05-05 11:01:09,2026-05-05 11:01:09,2026-05-05 11:01:09
