id,phone,nick_name,birthday,age,province,city,area,sex,rank,is_blacklist,source,is_vip,jwh_vip,venue_id,member_rate,content_rate,member_status,id_card,user_name,id_card_check,report_check,is_audit,login_num,last_login_time,energy_volume_num,depart_discount_num,guess_status,default_image_index,register_source,create_time,extract_time
10001,15068071545,建国叔叔,1958-05-12,68,浙江省,杭州市,西湖区,1,0,0,2,0,0,2,3.5,4.2,1,330109195801225739,陈建国,2,1,1,155,2026-07-18 12:33:23,7,2,1,3,V002,2026-07-17 18:55:32,2026-07-17 18:55:32
10001,15068071545,建国叔叔,1958-01-22,68,浙江省,杭州市,西湖区,1,0,0,2,0,0,2,3.5,4.2,1,330109195801225739,陈建国,2,1,1,155,2026-07-18 12:33:23,7,3,1,5,V002,2026-07-17 18:55:32,2026-07-17 18:55:32
10003,13562174596,明轩同学,2005-07-11,21,江苏省,南京市,栖霞区,1,0,0,3,0,0,2,2.5,3.0,1,440308200507119939,李明轩,2,1,1,5,2026-08-09 08:15:40,3,1,1,4,V002,2026-08-09 16:54:43,2026-08-09 16:54:43
10004,15104556238,婉清,1994-07-20,32,上海市,上海市,黄浦区,2,0,0,2,0,0,7,3.5,4.2,1,31010419940720609X,林婉清,2,2,1,199,2026-06-12 13:29:40,5,2,1,3,V007,2026-05-25 11:10:11,2026-05-25 11:10:11
10005,15745171236,逸飞同学,1995-09-04,31,浙江省,杭州市,滨江区,1,0,0,2,0,0,9,3.5,4.2,1,330108199509044772,陈逸飞,2,3,1,48,2026-06-10 18:52:40,7,2,1,3,V009,2026-04-04 08:50:25,2026-04-04 08:50:25
10006,13718393352,雅琴老师,1994-09-09,32,上海市,上海市,静安区,2,0,0,2,0,0,10,3.5,4.2,1,310103199409092122,林雅琴,2,1,1,56,2026-02-03 06:22:50,7,2,1,3,V010,2026-01-01 14:54:09,2026-01-01 14:54:09
10007,13261528098,逸飞先生,1994-07-28,32,广东省,深圳市,南山区,1,0,0,2,0,0,9,3.2,4.5,1,440301199407283942,陈逸飞,2,1,1,129,2026-06-24 09:36:32,7,2,1,5,V009,2026-03-26 09:26:22,2026-03-26 09:26:22
10008,18100343244,林教授,1958-03-13,68,北京市,北京市,海淀区,1,0,0,2,0,0,6,3.5,4.2,1,110109195803138208,林文远,2,3,1,108,2026-06-08 17:04:25,5,2,1,3,V006,2026-01-31 06:31:47,2026-01-31 06:31:47
10009,15889255466,志强哥,1992-02-11,34,四川省,成都市,锦江区,1,0,0,2,0,0,6,3.5,4.2,1,510102199202116714,陈志强,2,1,1,148,2026-07-11 14:46:54,7,2,1,3,V006,2026-06-23 07:50:40,2026-06-23 07:50:40
10010,13635733221,浩然哥,1997-05-15,29,广东省,深圳市,南山区,1,0,0,2,0,0,5,3.5,4.2,1,440301199712177775,陈浩然,2,2,1,136,2026-08-11 10:38:24,7,2,1,3,V005,2026-08-05 09:32:49,2026-08-05 09:32:49
10011,15611798089,陈总监,1988-06-08,38,广东省,深圳市,南山区,1,0,0,4,0,0,4,3.5,4.2,1,440307198806082914,陈国栋,2,3,1,71,2026-08-05 17:04:33,7,3,1,5,V004,2026-07-03 10:18:27,2026-07-03 10:18:27
10012,15592845115,林医生,1990-05-12,36,黑龙江省,哈尔滨市,南岗区,1,0,0,2,0,0,5,3.5,2.8,1,440306199012155577,林致远,2,3,1,60,2026-06-18 19:17:40,7,2,1,4,V005,2026-03-20 20:38:45,2026-03-20 20:38:45
10013,15022583132,雅琴姐,1992-06-15,34,浙江省,杭州市,余杭区,2,0,0,4,0,0,4,3.5,4.2,1,330109199206152326,陈雅琴,2,1,1,72,2026-07-24 15:25:45,5,2,1,3,V004,2026-07-22 21:01:23,2026-07-22 21:01:23
10014,13510469632,泽宇同学,2003-09-15,23,江苏省,南京市,鼓楼区,1,0,0,2,0,0,6,3.5,4.2,1,440308200309154151,林泽宇,2,3,1,177,2026-05-30 08:25:32,5,2,1,3,V006,2026-05-28 16:12:48,2026-05-28 16:12:48
10015,15019866524,林先生,1994-05-24,32,浙江省,杭州市,西湖区,1,0,0,2,0,0,1,3.5,4.2,1,330108199405243195,林致远,2,3,1,101,2026-07-30 14:59:35,7,2,1,3,V001,2026-03-15 08:22:59,2026-03-15 08:22:59
10016,15312275304,浩宇同学,2004-05-19,22,湖北省,武汉市,洪山区,1,0,0,2,0,0,7,3.5,4.2,1,440301200405193674,陈浩宇,2,1,1,142,2026-05-01 07:42:07,7,2,1,4,V007,2026-03-02 20:48:17,2026-03-02 20:48:17
10017,15823004786,浩然君,1992-05-07,34,浙江省,杭州市,西湖区,1,0,0,2,0,0,9,3.5,4.2,1,330102199205071327,李浩然,2,2,1,157,2026-06-25 06:15:13,7,2,1,4,V009,2026-04-08 13:15:29,2026-04-08 13:15:29
10018,13283046990,泽言同学,2005-06-10,21,广东省,深圳市,南山区,1,0,0,2,0,0,2,3.5,4.2,1,440301200506103164,李泽言,2,1,1,17,2026-03-20 21:58:15,7,2,1,5,V002,2026-02-18 12:30:13,2026-02-18 12:30:13
10019,15848408621,婉清妈妈,1988-05-27,38,浙江省,杭州市,西湖区,2,0,0,2,0,0,2,3.5,4.2,1,330106198805273732,林婉清,2,1,1,151,2026-05-25 17:25:29,7,3,1,5,V002,2026-05-15 10:15:12,2026-05-15 10:15:12
10020,18565511047,泽言同学,2003-07-15,23,上海市,上海市,杨浦区,1,0,0,2,0,0,6,3.5,4.2,1,310109200307156686,林泽言,2,3,1,181,2026-07-27 09:01:05,7,2,1,4,V006,2026-07-14 14:06:08,2026-07-14 14:06:08
10021,15641672434,晓宇同学,2004-05-15,22,浙江省,杭州市,余杭区,1,0,0,2,0,0,3,3.5,4.2,1,33010720041016647X,林晓宇,2,3,1,3,2026-08-08 14:22:10,7,2,1,4,V003,2026-08-04 19:50:24,2026-08-04 19:50:24
10022,18066033419,雅琴姐姐,1994-02-09,32,上海市,上海市,静安区,2,0,0,2,0,0,2,3.5,4.2,1,310108199402096405,林雅琴,2,1,1,130,2026-08-05 18:37:07,7,3,1,4,V002,2026-07-24 11:23:20,2026-07-24 11:23:20
10023,15729466711,文博同学,2005-08-16,21,北京市,北京市,海淀区,1,0,0,2,0,0,7,3.2,4.1,1,110106200508166956,林文博,2,1,1,18,2026-06-15 10:30:00,7,2,1,3,V007,2026-05-12 14:44:59,2026-05-12 14:44:59
10025,13930068486,婉清妈妈,1992-10-05,34,浙江省,杭州市,西湖区,2,0,0,3,0,0,7,3.5,4.2,1,330105199210051856,李婉清,2,3,1,129,2026-07-04 22:58:13,7,2,1,5,V007,2026-06-29 18:05:40,2026-06-29 18:05:40
10026,18732060385,泽宇教练,1997-05-15,29,广东省,广州市,天河区,1,0,0,2,0,0,1,3.5,4.2,1,440305199712242069,陈泽宇,2,3,1,102,2026-08-09 13:26:31,7,2,1,5,V001,2026-03-27 06:48:42,2026-03-27 06:48:42
10027,13910137215,小宇同学,2010-07-27,16,浙江省,杭州市,西湖区,1,0,0,3,0,0,2,2.5,3.1,1,330107201007276083,林小宇,1,1,0,1,2026-07-26 19:11:22,3,1,1,5,V002,2026-07-14 20:03:10,2026-07-14 20:03:10
10028,15705932525,浩然哥,1994-05-15,32,浙江省,杭州市,滨江区,1,0,0,2,0,0,1,3.5,4.2,1,330109199402289813,陈浩然,2,1,1,143,2026-01-24 17:45:42,7,3,1,5,V001,2026-01-06 10:37:45,2026-01-06 10:37:45
10029,13827104054,致远先生,1994-12-03,32,上海市,上海市,静安区,1,0,0,2,0,0,2,3.8,4.1,1,310109199412031951,林致远,2,1,1,136,2026-06-20 21:45:01,6,2,1,4,V002,2026-01-19 16:10:56,2026-01-19 16:10:56
10030,13934902115,逸飞先生,1994-05-12,32,上海市,上海市,徐汇区,1,0,0,2,0,0,9,3.5,4.2,1,310109199409148032,陈逸飞,2,1,1,4,2026-06-28 13:30:19,7,2,1,3,V009,2026-04-16 13:35:03,2026-04-16 13:35:03
